GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,H005001,H005001.2000,H005002,H005002.2000,H005003,H005003.2000,H005004,H005004.2000,H005005,H005005.2000,H005006,H005006.2000,H005007,H005007.2000,H005008,H005008.2000
47001,050,47,001,28940,314,,,Anderson County,75129,34717,71330,32451,3464,2671,1087,1207,51,,523,419,154,,297,197,0,1,1352,611
47003,050,47,003,43180,999,,,Bedford County,45058,18360,37586,14990,1830,1085,510,229,16,,266,136,77,,328,240,1,1,632,393
47005,050,47,005,99999,999,,,Benton County,16489,8975,16537,8595,1912,1732,151,216,22,,158,185,36,,977,801,1,0,567,410
47007,050,47,007,99999,999,,,Bledsoe County,12876,5718,12367,5142,1021,712,120,85,14,,74,53,56,,283,236,29,9,445,290
47009,050,47,009,28940,314,,,Blount County,123010,55266,105823,47059,6001,4392,1638,1153,71,,929,739,210,,1557,1115,10,6,1586,1068
47011,050,47,011,17420,174,,,Bradley County,98963,41395,87965,36820,3448,2539,1306,1141,55,,590,368,146,,263,162,6,6,1082,667
47013,050,47,013,29220,314,,,Campbell County,40716,19966,39854,18527,3612,2402,650,446,27,,320,286,89,,1457,1024,0,0,1069,558
47015,050,47,015,34980,400,,,Cannon County,13801,6037,12826,5420,565,422,103,95,9,,77,50,45,,64,35,0,1,267,192
47017,050,47,017,99999,999,,,Carroll County,28522,13184,29475,13057,1677,1278,459,298,29,,243,200,72,,169,123,1,1,704,555
47019,050,47,019,27740,304,,,Carter County,57424,27746,56742,25920,3549,2434,647,650,41,,337,279,155,,900,471,3,5,1466,806
47021,050,47,021,34980,400,,,Cheatham County,39105,15663,35912,13508,1143,630,220,130,13,,358,131,46,,88,62,4,1,414,235
47023,050,47,023,27180,297,,,Chester County,17131,6980,15540,6178,772,518,147,116,14,,110,64,29,,102,86,0,1,370,227
47025,050,47,025,99999,999,,,Claiborne County,32213,14859,29862,13262,2006,1463,417,281,14,,268,173,76,,362,252,1,11,868,617
47027,050,47,027,99999,999,,,Clay County,7861,4282,7976,3959,924,580,149,79,7,,74,70,13,,337,258,0,1,344,154
47029,050,47,029,35460,314,,,Cocke County,35662,17459,33565,15844,2671,2082,434,424,31,,236,170,85,,746,546,15,52,1124,699
47031,050,47,031,46100,999,,,Coffee County,52796,23434,48014,20746,2508,1861,821,537,26,,353,262,85,,427,422,4,4,792,491
47033,050,47,033,99999,999,,,Crockett County,14586,6425,14532,6138,716,506,179,149,12,,85,61,43,,35,38,14,22,348,164
47035,050,47,035,18900,999,,,Cumberland County,56053,28151,46802,22442,4360,2934,730,470,49,,669,410,136,,1750,1403,4,0,1022,508
47037,050,47,037,34980,400,,,Davidson County,626681,283978,569891,252977,24479,15572,11620,7398,418,,5243,2739,654,,1385,1095,4,10,5155,3330
47039,050,47,039,99999,999,,,Decatur County,11757,6873,11731,6448,1946,1540,140,102,17,,125,76,44,,1139,957,0,0,481,367
47041,050,47,041,99999,999,,,DeKalb County,18723,9405,17423,8409,1985,1425,256,164,13,,204,162,42,,1091,504,6,3,373,505
47043,050,47,043,34980,400,,,Dickson County,49666,20820,43156,17614,1713,1141,488,327,18,,346,178,65,,145,125,5,3,646,389
47045,050,47,045,20540,999,,,Dyer County,38335,16703,37279,16123,1520,1372,555,576,22,,201,234,40,,100,57,2,3,600,404
47047,050,47,047,32820,999,,,Fayette County,38413,15669,28806,11214,1164,747,199,121,20,,305,161,56,,118,107,3,4,463,272
47049,050,47,049,99999,999,,,Fentress County,17959,8961,16625,7598,1711,905,203,145,5,,150,101,80,,527,169,1,0,745,449
47051,050,47,051,46100,999,,,Franklin County,41052,18697,39270,16813,2686,1810,468,321,12,,344,257,134,,1029,650,10,12,689,475
47053,050,47,053,26480,297,,,Gibson County,49683,21999,48152,21059,2309,1541,645,480,30,,336,209,87,,93,85,3,6,1115,619
47055,050,47,055,99999,999,,,Giles County,29485,13844,29447,13113,1969,1400,490,367,25,,238,201,130,,388,266,1,1,697,495
47057,050,47,057,34100,314,,,Grainger County,22657,10894,20659,9732,1865,1462,193,145,9,,170,135,56,,792,598,2,7,643,447
47059,050,47,059,24620,999,,,Greene County,68831,32025,62909,28116,4007,2360,855,571,35,,487,332,188,,413,248,6,4,2023,916
47061,050,47,061,99999,999,,,Grundy County,13703,6397,14332,6282,992,720,196,90,9,,69,163,47,,383,274,11,1,277,172
47063,050,47,063,34100,314,,,Hamblen County,62544,26963,58128,24693,2403,1482,759,541,21,,475,253,103,,169,89,4,0,872,518
47065,050,47,065,16860,174,,,Hamilton County,336463,151107,307896,134692,14425,10248,5273,4002,202,,2836,1735,579,,1080,707,28,5,4427,3059
47067,050,47,067,99999,999,,,Hancock County,6819,3624,6786,3280,799,511,71,32,9,,42,37,9,,290,165,0,0,378,251
47069,050,47,069,99999,999,,,Hardeman County,27253,10851,28105,10694,1550,1282,384,271,19,,156,128,42,,350,373,0,1,599,446
47071,050,47,071,99999,999,,,Hardin County,26026,13946,25578,12807,3303,2381,358,303,24,,274,227,54,,1886,1161,0,9,707,552
47073,050,47,073,28700,304,,,Hawkins County,56833,26870,53563,24416,3527,2480,885,570,42,,402,427,139,,551,319,10,5,1498,862
47075,050,47,075,15140,999,,,Haywood County,18787,8315,19797,8086,856,528,286,181,8,,90,57,24,,133,79,0,5,315,173
47077,050,47,077,99999,999,,,Henderson County,27769,12776,25522,11446,1552,1140,426,284,15,,212,131,41,,191,124,1,1,666,514
47079,050,47,079,37540,999,,,Henry County,32330,17054,31115,15783,3450,2764,365,323,19,,236,312,106,,1782,1433,13,10,929,572
47081,050,47,081,34980,400,,,Hickman County,24690,10311,22295,8904,1335,823,229,139,10,,176,129,37,,252,174,2,3,629,326
47083,050,47,083,99999,999,,,Houston County,8426,4188,8088,3901,839,685,119,99,15,,46,59,12,,390,385,2,1,255,120
47085,050,47,085,99999,999,,,Humphreys County,18538,8865,17929,8482,1411,1244,206,242,29,,136,101,33,,613,526,2,0,392,303
47087,050,47,087,18260,999,,,Jackson County,11638,5843,10984,5163,1054,697,110,98,15,,102,108,33,,325,195,0,0,469,211
47089,050,47,089,34100,314,,,Jefferson County,51407,23499,44294,19319,3635,2164,605,460,24,,534,309,120,,1349,636,3,2,1000,594
47091,050,47,091,99999,999,,,Johnson County,18244,8956,17499,7879,1761,1052,155,130,26,,131,99,49,,603,368,4,5,793,397
47093,050,47,093,28940,314,,,Knox County,432226,194949,382032,171439,17700,13567,6777,5829,287,,3747,2653,816,,1048,586,5,2,5020,3409
47095,050,47,095,99999,999,,,Lake County,7832,2598,7954,2716,328,306,106,93,7,,34,26,6,,83,94,0,6,92,72
47097,050,47,097,99999,999,,,Lauderdale County,27815,11256,27101,10563,1461,996,516,304,15,,223,91,40,,241,253,12,10,414,247
47099,050,47,099,29980,999,,,Lawrence County,41869,18177,39926,16821,1902,1341,429,402,25,,238,249,114,,230,102,0,1,866,435
47101,050,47,101,99999,999,,,Lewis County,12161,5470,11367,4821,689,440,108,104,9,,79,107,44,,144,49,0,0,305,140
47103,050,47,103,99999,999,,,Lincoln County,33361,15241,31340,13999,1859,1496,320,299,22,,239,173,101,,267,205,4,3,906,649
47105,050,47,105,28940,314,,,Loudon County,48556,21725,39086,17277,1899,1333,360,331,26,,431,238,93,,373,199,0,3,616,355
47107,050,47,107,11940,174,,,McMinn County,52266,23341,49015,21626,2476,1905,568,572,33,,447,340,141,,220,120,1,2,1066,778
47109,050,47,109,99999,999,,,McNairy County,26075,11933,24653,11219,1607,1239,246,273,10,,195,184,51,,233,166,1,1,871,490
47111,050,47,111,34980,400,,,Macon County,22248,9861,20386,8894,1300,978,362,242,11,,179,132,53,,108,115,11,8,576,414
47113,050,47,113,27180,297,,,Madison County,98294,41877,91837,38205,3804,2653,1555,1164,54,,663,409,111,,195,157,2,6,1224,692
47115,050,47,115,16860,174,,,Marion County,28237,12954,27776,12140,1551,1103,395,278,22,,178,148,56,,355,231,1,0,544,370
47117,050,47,117,30280,999,,,Marshall County,30617,13119,26767,11181,1269,874,344,229,23,,222,178,46,,89,82,6,3,539,330
47119,050,47,119,17940,400,,,Maury County,80956,35254,69498,28674,3591,2230,1279,871,37,,715,414,98,,216,127,1,0,1245,661
47121,050,47,121,99999,999,,,Meigs County,11753,5628,11086,5188,942,884,103,66,5,,103,51,27,,476,497,3,0,225,214
47123,050,47,123,99999,999,,,Monroe County,44519,20787,38961,17287,3076,1958,568,367,29,,368,227,119,,849,655,1,2,1142,632
47125,050,47,125,17300,999,,,Montgomery County,172331,70098,134768,52167,6425,3837,3222,1380,113,,1357,847,193,,254,122,14,18,1272,1214
47127,050,47,127,46100,999,,,Moore County,6362,2915,5740,2515,423,304,28,29,5,,33,26,7,,179,77,1,0,170,155
47129,050,47,129,99999,999,,,Morgan County,21987,8920,19757,7714,1228,724,171,129,14,,139,80,81,,252,149,0,0,571,270
47131,050,47,131,46460,542,,,Obion County,31807,14659,32450,14489,1582,1307,486,470,28,,192,164,84,,218,175,1,8,573,426
47133,050,47,133,18260,999,,,Overton County,22083,10295,20118,9168,1475,1058,184,191,20,,104,129,41,,319,166,1,0,806,515
47135,050,47,135,99999,999,,,Perry County,7915,4599,7631,4115,1439,1092,60,56,4,,73,54,15,,887,677,0,0,400,225
47137,050,47,137,99999,999,,,Pickett County,5077,3462,4945,2956,1285,865,130,40,11,,69,19,11,,818,617,0,0,246,167
47139,050,47,139,17420,174,,,Polk County,16825,7991,16050,7369,1338,921,207,121,25,,130,76,30,,481,290,0,2,465,361
47141,050,47,141,18260,999,,,Putnam County,72321,31882,62315,26916,2952,2051,1047,719,34,,404,358,117,,302,170,12,1,1036,689
47143,050,47,143,99999,999,,,Rhea County,31809,14365,28400,12565,2089,1381,441,279,23,,239,165,52,,593,411,7,3,734,420
47145,050,47,145,25340,314,,,Roane County,54181,25716,51910,23369,3340,2169,760,717,29,,419,287,117,,611,433,11,1,1393,483
47147,050,47,147,34980,400,,,Robertson County,66283,26086,54433,20995,1889,1089,608,234,40,,379,210,120,,120,70,24,14,598,461
47149,050,47,149,34980,400,,,Rutherford County,262604,102968,182023,70616,6736,4173,3090,1961,88,,1515,977,244,,362,178,1,18,1436,728
47151,050,47,151,99999,999,,,Scott County,22228,9910,21127,8909,1239,706,211,151,11,,88,74,40,,235,145,0,0,654,272
47153,050,47,153,16860,174,,,Sequatchie County,14112,6368,11370,4916,849,453,201,90,19,,121,84,64,,191,73,0,1,253,185
47155,050,47,155,42940,314,,,Sevier County,89889,55918,71170,37252,20575,8785,1932,1574,54,,1015,418,229,,15624,5639,4,14,1717,876
47157,050,47,157,32820,999,,,Shelby County,927644,398274,897472,362954,47303,24588,24824,11260,701,,6099,4063,878,,1182,1067,7,17,13612,6585
47159,050,47,159,34980,400,,,Smith County,19166,8529,17712,7665,1119,787,227,111,19,,150,109,42,,188,104,1,3,492,383
47161,050,47,161,17300,999,,,Stewart County,13324,6778,12370,5977,1392,1047,133,109,5,,100,93,27,,661,520,7,12,459,271
47163,050,47,163,28700,304,,,Sullivan County,156823,73760,153048,69052,7462,5496,2174,2046,98,,1284,993,317,,906,497,1,0,2682,1444
47165,050,47,165,34980,400,,,Sumner County,160645,65968,130449,51657,4993,2716,1823,884,86,,1211,639,207,,329,227,5,5,1332,775
47167,050,47,167,32820,999,,,Tipton County,61081,23199,51271,19064,1582,958,509,248,22,,309,283,68,,65,70,5,1,604,279
47169,050,47,169,34980,400,,,Trousdale County,7870,3368,7259,3095,392,315,103,54,2,,50,37,27,,41,39,4,17,165,117
47171,050,47,171,27740,304,,,Unicoi County,18313,8830,17667,8214,1104,698,188,123,8,,98,60,63,,213,114,1,0,533,341
47173,050,47,173,28940,314,,,Union County,19109,8958,17808,7916,1567,1174,246,179,8,,167,86,60,,634,458,0,0,452,389
47175,050,47,175,99999,999,,,Van Buren County,5548,2663,5508,2453,417,273,25,17,3,,53,24,11,,195,75,0,0,130,137
47177,050,47,177,32660,999,,,Warren County,39839,17821,38276,16689,1971,1508,565,488,24,,297,295,96,,227,118,6,5,756,476
47179,050,47,179,27740,304,,,Washington County,122979,57254,107198,47779,5932,3584,1793,1371,79,,1060,679,181,,457,261,7,10,2355,913
47181,050,47,181,99999,999,,,Wayne County,17021,7287,16842,6701,1151,765,164,130,7,,104,64,52,,289,94,0,0,535,449
47183,050,47,183,32280,542,,,Weakley County,35021,15495,34895,14928,1597,1329,489,447,26,,219,175,108,,166,130,0,4,589,505
47185,050,47,185,99999,999,,,White County,25841,11511,23102,10191,1239,962,214,212,5,,180,177,64,,230,124,1,1,545,395
47187,050,47,187,34980,400,,,Williamson County,183182,68498,126638,47005,3612,2280,954,502,99,,1158,851,231,,352,155,6,10,812,437
47189,050,47,189,34980,400,,,Wilson County,113993,45568,88809,34921,3005,2123,818,542,43,,661,544,168,,361,289,1,7,953,580
